,date,brand,days_visible_7,days_measured_7,visibility_7,appearances_7,opportunities_7,share_7,avg_normalized_inverted_rank_7,score_7,score_30,url_id,category
381,2017-03-14 0:00:00,Vernor's,1,7,0.142857143,1,100,0.01,0.05,0.057642857,0.054666667,2158,Soda Soft Drinks
382,2017-03-14 0:00:00,Zevia,7,7,1,86,700,0.122857143,0.907142857,1.925734694,1.922888889,2158,Soda Soft Drinks
383,2017-03-14 0:00:00,Zico Beverages,7,7,1,7,700,0.01,0.39,0.7839,0.78055,2158,Soda Soft Drinks
384,2017-03-14 0:00:00,bai,7,7,1,60,700,0.085714286,0.977142857,2.038040816,2.035536111,2158,Soda Soft Drinks
385,2017-03-15 0:00:00,Barq's,7,7,1,7,700,0.01,0.632857143,1.272042857,1.216823077,2158,Soda Soft Drinks
386,2017-03-15 0:00:00,Barrs Originals Soft Drinks,1,7,0.142857143,1,100,0.01,0.03,0.034585714,0.040734615,2158,Soda Soft Drinks
387,2017-03-15 0:00:00,Blue Sky,7,7,1,30,700,0.042857143,0.541428571,1.106061224,1.086035503,2158,Soda Soft Drinks
388,2017-03-15 0:00:00,Brex America,7,7,1,7,700,0.01,0.528571429,1.062428571,0.949338462,2158,Soda Soft Drinks
389,2017-03-15 0:00:00,Buffalo Rock Ginger Ale,1,7,0.142857143,1,100,0.01,0.04,0.046114286,0.043476923,2158,Soda Soft Drinks
390,2017-03-15 0:00:00,Canada Dry,,,,,,,,,0.130430769,2158,Soda Soft Drinks
391,2017-03-15 0:00:00,Coca-Cola,7,7,1,31,700,0.044285714,0.991428571,2.026763265,2.027266272,2158,Soda Soft Drinks
392,2017-03-15 0:00:00,Coca-Cola Life,7,7,1,7,700,0.01,0.738571429,1.484528571,1.532238462,2158,Soda Soft Drinks
393,2017-03-15 0:00:00,Coke Zero,7,7,1,28,700,0.04,0.971428571,1.981714286,1.985076923,2158,Soda Soft Drinks
394,2017-03-15 0:00:00,Diet Coke,7,7,1,34,700,0.048571429,0.998571429,2.045644898,2.044579882,2158,Soda Soft Drinks
395,2017-03-15 0:00:00,Diet Mountain Dew,6,7,0.857142857,9,600,0.015,0.838333333,1.569479762,1.665312821,2158,Soda Soft Drinks
396,2017-03-15 0:00:00,Fanta,7,7,1,7,700,0.01,0.7,1.407,1.420455621,2158,Soda Soft Drinks
397,2017-03-15 0:00:00,Fever-Tree,7,7,1,29,700,0.041428571,0.68,1.388171429,1.372542012,2158,Soda Soft Drinks
398,2017-03-15 0:00:00,Fresca,7,7,1,17,700,0.024285714,0.77,1.5587,1.490285207,2158,Soda Soft Drinks
399,2017-03-15 0:00:00,Gosling's,5,7,0.714285714,6,500,0.012,0.194,0.334899429,0.487901081,2158,Soda Soft Drinks
400,2017-03-15 0:00:00,Hansen's,7,7,1,50,700,0.071428571,0.768571429,1.592040816,1.482552071,2158,Soda Soft Drinks
401,2017-03-15 0:00:00,Hires Big H,1,7,0.142857143,1,100,0.01,0.05,0.057642857,0.090989744,2158,Soda Soft Drinks
402,2017-03-15 0:00:00,Irn Bru,1,7,0.142857143,1,100,0.01,0.09,0.103757143,0.097823077,2158,Soda Soft Drinks
403,2017-03-15 0:00:00,Mello Yello,,,,,,,,,0.032607692,2158,Soda Soft Drinks
404,2017-03-15 0:00:00,Mist TWST,6,7,0.857142857,6,600,0.01,0.303333333,0.566366667,0.433142735,2158,Soda Soft Drinks
405,2017-03-15 0:00:00,Mountain Dew,7,7,1,74,700,0.105714286,0.824285714,1.735710204,1.729654438,2158,Soda Soft Drinks
406,2017-03-15 0:00:00,Mug,7,7,1,7,700,0.01,0.712857143,1.432842857,1.5075,2158,Soda Soft Drinks
407,2017-03-15 0:00:00,NO DATA,7,7,1,56,700,0.08,0.734285714,1.527314286,1.529695266,2158,Soda Soft Drinks
408,2017-03-15 0:00:00,Neuro,6,7,0.857142857,6,600,0.01,0.138333333,0.258288095,0.322295804,2158,Soda Soft Drinks
409,2017-03-15 0:00:00,Pepsi,7,7,1,72,700,0.102857143,0.882857143,1.856522449,1.846662722,2158,Soda Soft Drinks
410,2017-03-15 0:00:00,Q Drinks,7,7,1,11,700,0.015714286,0.348571429,0.702620408,0.799647337,2158,Soda Soft Drinks
411,2017-03-15 0:00:00,Seagram's,7,7,1,7,700,0.01,0.93,1.8693,1.866207692,2158,Soda Soft Drinks
412,2017-03-15 0:00:00,Sprite,7,7,1,18,700,0.025714286,0.947142857,1.918640816,1.906866864,2158,Soda Soft Drinks
413,2017-03-15 0:00:00,Surge,7,7,1,7,700,0.01,0.86,1.7286,1.713138462,2158,Soda Soft Drinks
414,2017-03-15 0:00:00,Top Hat,3,7,0.428571429,3,300,0.01,0.13,0.187014286,0.217419231,2158,Soda Soft Drinks
415,2017-03-15 0:00:00,V8,6,7,0.857142857,6,600,0.01,0.181666667,0.339197619,0.320608392,2158,Soda Soft Drinks
416,2017-03-15 0:00:00,Vernor's,1,7,0.142857143,1,100,0.01,0.05,0.057642857,0.054346154,2158,Soda Soft Drinks
417,2017-03-15 0:00:00,Zevia,7,7,1,88,700,0.125714286,0.911428571,1.937436735,1.923137278,2158,Soda Soft Drinks
418,2017-03-15 0:00:00,Zico Beverages,7,7,1,7,700,0.01,0.431428571,0.867171429,0.790084615,2158,Soda Soft Drinks
