,date,brand,days_visible_7,days_measured_7,visibility_7,appearances_7,opportunities_7,share_7,avg_normalized_inverted_rank_7,score_7,url_id,category
53,2017-03-04 0:00:00,Folgers,2,2,1,5,200,0.025,0.9,1.8225,2154,Coffee Beverages
54,2017-03-04 0:00:00,Four Sigma Foods,2,2,1,2,200,0.01,0.7,1.407,2154,Coffee Beverages
55,2017-03-04 0:00:00,Fusionroaster75,2,2,1,2,200,0.01,0.615,1.23615,2154,Coffee Beverages
56,2017-03-04 0:00:00,Gevalia K-Cup Coffee,2,2,1,2,200,0.01,0.39,0.7839,2154,Coffee Beverages
57,2017-03-04 0:00:00,Gevalia Roast & Ground Coffee,1,2,0.5,1,100,0.01,0.1,0.151,2154,Coffee Beverages
58,2017-03-04 0:00:00,Green Mountain Coffee,2,2,1,20,200,0.1,0.95,1.995,2154,Coffee Beverages
59,2017-03-04 0:00:00,Grove Square Cappuccino,2,2,1,5,200,0.025,0.735,1.488375,2154,Coffee Beverages
60,2017-03-04 0:00:00,Kicking Horse Coffee,2,2,1,2,200,0.01,0.43,0.8643,2154,Coffee Beverages
61,2017-03-04 0:00:00,Lavazza,2,2,1,4,200,0.02,0.9,1.818,2154,Coffee Beverages
62,2017-03-04 0:00:00,MAXWELL HOUSE,2,2,1,2,200,0.01,0.385,0.77385,2154,Coffee Beverages
63,2017-03-04 0:00:00,McCafe Coffee,2,2,1,2,200,0.01,0.6,1.206,2154,Coffee Beverages
64,2017-03-04 0:00:00,NO DATA,2,2,1,7,200,0.035,0.51,1.03785,2154,Coffee Beverages
65,2017-03-04 0:00:00,Nespresso,2,2,1,31,200,0.155,0.92,1.9826,2154,Coffee Beverages
66,2017-03-04 0:00:00,Nespresso OriginalLine,2,2,1,2,200,0.01,0.99,1.9899,2154,Coffee Beverages
67,2017-03-04 0:00:00,Newman's Own,2,2,1,2,200,0.01,0.525,1.05525,2154,Coffee Beverages
68,2017-03-04 0:00:00,Peet's Coffee,2,2,1,7,200,0.035,0.615,1.251525,2154,Coffee Beverages
69,2017-03-04 0:00:00,Revival Roaster,2,2,1,2,200,0.01,0.215,0.43215,2154,Coffee Beverages
70,2017-03-04 0:00:00,San Francisco Bay Coffee,2,2,1,19,200,0.095,0.98,2.0531,2154,Coffee Beverages
71,2017-03-04 0:00:00,Starbucks,2,2,1,18,200,0.09,0.92,1.9228,2154,Coffee Beverages
72,2017-03-04 0:00:00,Tassimo,1,2,0.5,1,100,0.01,0.08,0.1208,2154,Coffee Beverages
73,2017-03-04 0:00:00,The Original Donut Shop,2,2,1,3,200,0.015,1,2.015,2154,Coffee Beverages
74,2017-03-04 0:00:00,Tim Hortons,2,2,1,2,200,0.01,0.095,0.19095,2154,Coffee Beverages
75,2017-03-04 0:00:00,Tully's Coffee,2,2,1,2,200,0.01,0.505,1.01505,2154,Coffee Beverages
76,2017-03-04 0:00:00,Twinings,2,2,1,6,200,0.03,0.91,1.8473,2154,Coffee Beverages
77,2017-03-04 0:00:00,Two Rivers LLC,2,2,1,4,200,0.02,0.745,1.5049,2154,Coffee Beverages
78,2017-03-04 0:00:00,Victor Allen,1,2,0.5,1,100,0.01,0.02,0.0302,2154,Coffee Beverages
79,2017-03-05 0:00:00,Barista Prima,2,3,0.666666667,2,200,0.01,0.155,0.259883333,2154,Coffee Beverages
80,2017-03-05 0:00:00,Beantown Roasters,3,3,1,6,300,0.02,0.533333333,1.077333333,2154,Coffee Beverages
81,2017-03-05 0:00:00,Bestpresso,3,3,1,3,300,0.01,0.703333333,1.4137,2154,Coffee Beverages
82,2017-03-05 0:00:00,BulletProof,3,3,1,3,300,0.01,0.29,0.5829,2154,Coffee Beverages
83,2017-03-05 0:00:00,Cafe Don Pablo,3,3,1,4,300,0.013333333,0.61,1.228133333,2154,Coffee Beverages
84,2017-03-05 0:00:00,CafŽ Escapes,3,3,1,3,300,0.01,0.686666667,1.3802,2154,Coffee Beverages
85,2017-03-05 0:00:00,Caribou Coffee,3,3,1,3,300,0.01,0.443333333,0.8911,2154,Coffee Beverages
86,2017-03-05 0:00:00,Caza Trail,3,3,1,6,300,0.02,0.763333333,1.541933333,2154,Coffee Beverages
87,2017-03-05 0:00:00,Crazy Cups,3,3,1,4,300,0.013333333,0.19,0.382533333,2154,Coffee Beverages
88,2017-03-05 0:00:00,Custom Variety Pack,3,3,1,6,300,0.02,0.96,1.9392,2154,Coffee Beverages
89,2017-03-05 0:00:00,Death Wish Coffee Company,3,3,1,9,300,0.03,0.843333333,1.711966667,2154,Coffee Beverages
90,2017-03-05 0:00:00,Donut House Collection,3,3,1,3,300,0.01,0.356666667,0.7169,2154,Coffee Beverages
91,2017-03-05 0:00:00,Dunkin' Donuts,3,3,1,9,300,0.03,0.776666667,1.576633333,2154,Coffee Beverages
92,2017-03-05 0:00:00,Eight O'Clock Coffee,3,3,1,9,300,0.03,0.86,1.7458,2154,Coffee Beverages
93,2017-03-05 0:00:00,Folgers,3,3,1,7,300,0.023333333,0.89,1.800766667,2154,Coffee Beverages
94,2017-03-05 0:00:00,Four Sigma Foods,3,3,1,3,300,0.01,0.683333333,1.3735,2154,Coffee Beverages
95,2017-03-05 0:00:00,Fusionroaster75,3,3,1,3,300,0.01,0.546666667,1.0988,2154,Coffee Beverages
96,2017-03-05 0:00:00,Gevalia K-Cup Coffee,3,3,1,3,300,0.01,0.426666667,0.8576,2154,Coffee Beverages
97,2017-03-05 0:00:00,Gevalia Roast & Ground Coffee,2,3,0.666666667,2,200,0.01,0.205,0.343716667,2154,Coffee Beverages
98,2017-03-05 0:00:00,Green Mountain Coffee,3,3,1,29,300,0.096666667,0.95,1.991833333,2154,Coffee Beverages
99,2017-03-05 0:00:00,Grove Square Cappuccino,3,3,1,8,300,0.026666667,0.73,1.479466667,2154,Coffee Beverages
100,2017-03-05 0:00:00,Kicking Horse Coffee,3,3,1,3,300,0.01,0.44,0.8844,2154,Coffee Beverages
