,date,brand,days_visible_7,days_measured_7,visibility_7,appearances_7,opportunities_7,share_7,avg_normalized_inverted_rank_7,score_7,url_id,category
55,2017-03-05 0:00:00,Plum Organics,3,3,1,42,300,0.14,0.99,2.1186,1973,Baby Foods
56,2017-03-05 0:00:00,Pumpkin Tree,3,3,1,6,300,0.02,0.676666667,1.366866667,1973,Baby Foods
57,2017-03-05 0:00:00,Similac,3,3,1,48,300,0.16,0.936666667,2.0232,1973,Baby Foods
58,2017-03-05 0:00:00,Sprout,3,3,1,5,300,0.016666667,0.166666667,0.336111111,1973,Baby Foods
59,2017-03-06 0:00:00,Baby's Only,4,4,1,4,400,0.01,0.755,1.51755,1973,Baby Foods
60,2017-03-06 0:00:00,Earth's Best,4,4,1,72,400,0.18,0.9925,2.16365,1973,Baby Foods
61,2017-03-06 0:00:00,Enfagrow,4,4,1,13,400,0.0325,0.975,1.9816875,1973,Baby Foods
62,2017-03-06 0:00:00,Enfamil,4,4,1,49,400,0.1225,0.925,1.9633125,1973,Baby Foods
63,2017-03-06 0:00:00,Gerber,1,4,0.25,1,100,0.01,0.09,0.1134,1973,Baby Foods
64,2017-03-06 0:00:00,Gerber Good Start Infant Formula,4,4,1,16,400,0.04,0.5725,1.1679,1973,Baby Foods
65,2017-03-06 0:00:00,Gerber Graduates,4,4,1,17,400,0.0425,0.93,1.899525,1973,Baby Foods
66,2017-03-06 0:00:00,Gerber Purees,4,4,1,8,400,0.02,0.655,1.3231,1973,Baby Foods
67,2017-03-06 0:00:00,HAPPY BABY,4,4,1,37,400,0.0925,0.8825,1.84663125,1973,Baby Foods
68,2017-03-06 0:00:00,Happy Baby,4,4,1,4,400,0.01,0.9425,1.894425,1973,Baby Foods
69,2017-03-06 0:00:00,Happy Tot,2,4,0.5,2,200,0.01,0.145,0.21895,1973,Baby Foods
70,2017-03-06 0:00:00,Hot Kid,1,4,0.25,1,100,0.01,0.1,0.126,1973,Baby Foods
71,2017-03-06 0:00:00,NO DATA,4,4,1,7,400,0.0175,0.32,0.6456,1973,Baby Foods
72,2017-03-06 0:00:00,Nido,4,4,1,4,400,0.01,0.42,0.8442,1973,Baby Foods
73,2017-03-06 0:00:00,Nutramigen,4,4,1,8,400,0.02,0.6825,1.37865,1973,Baby Foods
74,2017-03-06 0:00:00,Pedialyte,1,4,0.25,1,100,0.01,0.21,0.2646,1973,Baby Foods
75,2017-03-06 0:00:00,Pediasure,4,4,1,8,400,0.02,0.645,1.3029,1973,Baby Foods
76,2017-03-06 0:00:00,Peter Rabbit Organics,4,4,1,12,400,0.03,0.4425,0.898275,1973,Baby Foods
77,2017-03-06 0:00:00,Plum Organics,4,4,1,58,400,0.145,0.9925,2.1289125,1973,Baby Foods
78,2017-03-06 0:00:00,Pumpkin Tree,4,4,1,8,400,0.02,0.68,1.3736,1973,Baby Foods
79,2017-03-06 0:00:00,Similac,4,4,1,63,400,0.1575,0.9325,2.01186875,1973,Baby Foods
80,2017-03-06 0:00:00,Sprout,4,4,1,7,400,0.0175,0.1575,0.31775625,1973,Baby Foods
81,2017-03-07 0:00:00,Baby's Only,5,5,1,6,500,0.012,0.77,1.54924,1973,Baby Foods
82,2017-03-07 0:00:00,Earth's Best,5,5,1,89,500,0.178,0.992,2.160576,1973,Baby Foods
83,2017-03-07 0:00:00,EleCare,1,5,0.2,1,100,0.01,0.18,0.2178,1973,Baby Foods
84,2017-03-07 0:00:00,Enfagrow,5,5,1,15,500,0.03,0.972,1.97316,1973,Baby Foods
85,2017-03-07 0:00:00,Enfamil,5,5,1,61,500,0.122,0.934,1.981948,1973,Baby Foods
86,2017-03-07 0:00:00,Gerber,1,5,0.2,1,100,0.01,0.09,0.1089,1973,Baby Foods
87,2017-03-07 0:00:00,Gerber Good Start Infant Formula,5,5,1,20,500,0.04,0.566,1.15464,1973,Baby Foods
88,2017-03-07 0:00:00,Gerber Graduates,5,5,1,21,500,0.042,0.904,1.845968,1973,Baby Foods
89,2017-03-07 0:00:00,Gerber Purees,5,5,1,9,500,0.018,0.64,1.29152,1973,Baby Foods
90,2017-03-07 0:00:00,HAPPY BABY,5,5,1,47,500,0.094,0.878,1.838532,1973,Baby Foods
91,2017-03-07 0:00:00,Happy Baby,5,5,1,5,500,0.01,0.942,1.89342,1973,Baby Foods
92,2017-03-07 0:00:00,Happy Tot,3,5,0.6,3,300,0.01,0.153333333,0.246866667,1973,Baby Foods
93,2017-03-07 0:00:00,Hot Kid,1,5,0.2,1,100,0.01,0.1,0.121,1973,Baby Foods
94,2017-03-07 0:00:00,MommyYummy,1,5,0.2,1,100,0.01,0.34,0.4114,1973,Baby Foods
95,2017-03-07 0:00:00,NO DATA,5,5,1,9,500,0.018,0.312,0.629616,1973,Baby Foods
96,2017-03-07 0:00:00,Nido,5,5,1,5,500,0.01,0.386,0.77586,1973,Baby Foods
97,2017-03-07 0:00:00,Nuby,1,5,0.2,1,100,0.01,0.04,0.0484,1973,Baby Foods
98,2017-03-07 0:00:00,Nutramigen,5,5,1,10,500,0.02,0.684,1.38168,1973,Baby Foods
99,2017-03-07 0:00:00,Pedialyte,1,5,0.2,1,100,0.01,0.21,0.2541,1973,Baby Foods
100,2017-03-07 0:00:00,Pediasure,5,5,1,10,500,0.02,0.626,1.26452,1973,Baby Foods
101,2017-03-07 0:00:00,Peter Rabbit Organics,5,5,1,15,500,0.03,0.424,0.86072,1973,Baby Foods
102,2017-03-07 0:00:00,Plum Organics,5,5,1,73,500,0.146,0.994,2.133124,1973,Baby Foods
103,2017-03-07 0:00:00,Pumpkin Tree,5,5,1,9,500,0.018,0.686,1.384348,1973,Baby Foods
104,2017-03-07 0:00:00,Similac,5,5,1,79,500,0.158,0.932,2.011256,1973,Baby Foods
105,2017-03-07 0:00:00,Sprout,5,5,1,8,500,0.016,0.168,0.338688,1973,Baby Foods
106,2017-03-08 0:00:00,Baby's Only,6,6,1,8,600,0.013333333,0.783333333,1.577111111,1973,Baby Foods
107,2017-03-08 0:00:00,Baby's Only Organic,1,6,0.166666667,1,100,0.01,0.92,1.082533333,1973,Baby Foods
108,2017-03-08 0:00:00,Earth's Best,6,6,1,107,600,0.178333333,0.991666667,2.160180556,1973,Baby Foods
109,2017-03-08 0:00:00,EleCare,2,6,0.333333333,2,200,0.01,0.245,0.329116667,1973,Baby Foods
