,date,brand,days_visible_365,days_measured_365,visibility_365,appearances_365,opportunities_365,share_365,avg_normalized_inverted_rank_365,days_visible_90,days_measured_90,visibility_90,appearances_90,opportunities_90,share_90,avg_normalized_inverted_rank_90,days_visible_30,days_measured_30,visibility_30,appearances_30,opportunities_30,share_30,avg_normalized_inverted_rank_30,days_visible_14,days_measured_14,visibility_14,appearances_14,opportunities_14,share_14,avg_normalized_inverted_rank_14,days_visible_7,days_measured_7,visibility_7,appearances_7,opportunities_7,share_7,avg_normalized_inverted_rank_7,days_visible_1,days_measured_1,visibility_1,appearances_1,opportunities_1,share_1,avg_normalized_inverted_rank_1,score_1,score_7,score_14,score_30,score_90,score_365,methodology,url_id,category
15,2017-03-03 0:00:00,Nestle Pure Life Splash,1,1,1,2,100,0.02,0.46,1,1,1,2,100,0.02,0.46,1,1,1,2,100,0.02,0.46,1,1,1,2,100,0.02,0.46,1,1,1,2,100,0.02,0.46,1,1,1,2,100,0.02,0.46,0.9292,0.9292,0.9292,0.9292,0.9292,0.9292,Rank * (Real Estate * Visibility + 1),2161,Drinking Water
16,2017-03-03 0:00:00,Perrier,1,1,1,7,100,0.07,0.93,1,1,1,7,100,0.07,0.93,1,1,1,7,100,0.07,0.93,1,1,1,7,100,0.07,0.93,1,1,1,7,100,0.07,0.93,1,1,1,7,100,0.07,0.93,1.9251,1.9251,1.9251,1.9251,1.9251,1.9251,Rank * (Real Estate * Visibility + 1),2161,Drinking Water
17,2017-03-03 0:00:00,Poland Spring,1,1,1,3,100,0.03,0.41,1,1,1,3,100,0.03,0.41,1,1,1,3,100,0.03,0.41,1,1,1,3,100,0.03,0.41,1,1,1,3,100,0.03,0.41,1,1,1,3,100,0.03,0.41,0.8323,0.8323,0.8323,0.8323,0.8323,0.8323,Rank * (Real Estate * Visibility + 1),2161,Drinking Water
18,2017-03-03 0:00:00,Powerade,1,1,1,3,100,0.03,0.31,1,1,1,3,100,0.03,0.31,1,1,1,3,100,0.03,0.31,1,1,1,3,100,0.03,0.31,1,1,1,3,100,0.03,0.31,1,1,1,3,100,0.03,0.31,0.6293,0.6293,0.6293,0.6293,0.6293,0.6293,Rank * (Real Estate * Visibility + 1),2161,Drinking Water
19,2017-03-03 0:00:00,Propel,1,1,1,6,100,0.06,0.66,1,1,1,6,100,0.06,0.66,1,1,1,6,100,0.06,0.66,1,1,1,6,100,0.06,0.66,1,1,1,6,100,0.06,0.66,1,1,1,6,100,0.06,0.66,1.3596,1.3596,1.3596,1.3596,1.3596,1.3596,Rank * (Real Estate * Visibility + 1),2161,Drinking Water
20,2017-03-03 0:00:00,Quaker Gatorade,1,1,1,1,100,0.01,0.56,1,1,1,1,100,0.01,0.56,1,1,1,1,100,0.01,0.56,1,1,1,1,100,0.01,0.56,1,1,1,1,100,0.01,0.56,1,1,1,1,100,0.01,0.56,1.1256,1.1256,1.1256,1.1256,1.1256,1.1256,Rank * (Real Estate * Visibility + 1),2161,Drinking Water
21,2017-03-03 0:00:00,San Pellegrino,1,1,1,3,100,0.03,0.91,1,1,1,3,100,0.03,0.91,1,1,1,3,100,0.03,0.91,1,1,1,3,100,0.03,0.91,1,1,1,3,100,0.03,0.91,1,1,1,3,100,0.03,0.91,1.8473,1.8473,1.8473,1.8473,1.8473,1.8473,Rank * (Real Estate * Visibility + 1),2161,Drinking Water
22,2017-03-03 0:00:00,Sobe,1,1,1,1,100,0.01,0.21,1,1,1,1,100,0.01,0.21,1,1,1,1,100,0.01,0.21,1,1,1,1,100,0.01,0.21,1,1,1,1,100,0.01,0.21,1,1,1,1,100,0.01,0.21,0.4221,0.4221,0.4221,0.4221,0.4221,0.4221,Rank * (Real Estate * Visibility + 1),2161,Drinking Water
23,2017-03-03 0:00:00,Sparkling ICE,1,1,1,13,100,0.13,0.89,1,1,1,13,100,0.13,0.89,1,1,1,13,100,0.13,0.89,1,1,1,13,100,0.13,0.89,1,1,1,13,100,0.13,0.89,1,1,1,13,100,0.13,0.89,1.8957,1.8957,1.8957,1.8957,1.8957,1.8957,Rank * (Real Estate * Visibility + 1),2161,Drinking Water
24,2017-03-03 0:00:00,Traditional Medicinals,1,1,1,1,100,0.01,0.16,1,1,1,1,100,0.01,0.16,1,1,1,1,100,0.01,0.16,1,1,1,1,100,0.01,0.16,1,1,1,1,100,0.01,0.16,1,1,1,1,100,0.01,0.16,0.3216,0.3216,0.3216,0.3216,0.3216,0.3216,Rank * (Real Estate * Visibility + 1),2161,Drinking Water
25,2017-03-03 0:00:00,VOSS Artesian water,1,1,1,2,100,0.02,0.32,1,1,1,2,100,0.02,0.32,1,1,1,2,100,0.02,0.32,1,1,1,2,100,0.02,0.32,1,1,1,2,100,0.02,0.32,1,1,1,2,100,0.02,0.32,0.6464,0.6464,0.6464,0.6464,0.6464,0.6464,Rank * (Real Estate * Visibility + 1),2161,Drinking Water
26,2017-03-03 0:00:00,Zico Beverages,1,1,1,1,100,0.01,0.33,1,1,1,1,100,0.01,0.33,1,1,1,1,100,0.01,0.33,1,1,1,1,100,0.01,0.33,1,1,1,1,100,0.01,0.33,1,1,1,1,100,0.01,0.33,0.6633,0.6633,0.6633,0.6633,0.6633,0.6633,Rank * (Real Estate * Visibility + 1),2161,Drinking Water
