url_id	category	fact_date	brand	overall_score_365	overall_score_90	overall_score_30	overall_score_14	overall_score_7	overall_score_1
9	Beauty Gift Sets	2017-07-01	AMERICAN CREW	5.454	5.454	5.454	5.454	5.454	4.646
9	Beauty Gift Sets	2017-07-01	Alterna	0.708916667	0.708916667	0.708916667	0.708916667	0.708916667	
9	Beauty Gift Sets	2017-07-01	Aquasentials	0.282	0.282	0.282	0.282	0.282	
9	Beauty Gift Sets	2017-07-01	Arison Lashes	5.494	5.494	5.494	5.494	5.494	5.427
9	Beauty Gift Sets	2017-07-01	Aroma Designs	3.8726	3.8726	3.8726	3.8726	3.8726	5.025
9	Beauty Gift Sets	2017-07-01	ArtNaturals	6.164	6.164	6.164	6.164	6.164	6.298
9	Beauty Gift Sets	2017-07-01	Avon	6.5526	6.5526	6.5526	6.5526	6.5526	6.566
9	Beauty Gift Sets	2017-07-01	Azzaro	1.3395	1.3395	1.3395	1.3395	1.3395	1.34
9	Beauty Gift Sets	2017-07-01	BESTOPE	5.9792	5.9792	5.9792	5.9792	5.9792	6.06
9	Beauty Gift Sets	2017-07-01	BHCosmetics	1.236833333	1.236833333	1.236833333	1.236833333	1.236833333	1.139
9	Beauty Gift Sets	2017-07-01	BS-MALL	6.2578	6.2578	6.2578	6.2578	6.2578	6.231
9	Beauty Gift Sets	2017-07-01	BaBylissPRO	4.288	4.288	4.288	4.288	4.288	4.02
9	Beauty Gift Sets	2017-07-01	Barnhouse Blue	3.410373333	3.410373333	3.410373333	3.410373333	3.410373333	3.636
9	Beauty Gift Sets	2017-07-01	Batiste	6.5124	6.5124	6.5124	6.5124	6.5124	6.499
9	Beauty Gift Sets	2017-07-01	Beauty Cinch Up	0.094	0.094	0.094	0.094	0.094	
9	Beauty Gift Sets	2017-07-01	Beyonce	3.1222	3.1222	3.1222	3.1222	3.1222	2.948
9	Beauty Gift Sets	2017-07-01	Body Merry	0.484	0.484	0.484	0.484	0.484	
9	Beauty Gift Sets	2017-07-01	Botanicare Oils	1.250333333	1.250333333	1.250333333	1.250333333	1.250333333	2.077
9	Beauty Gift Sets	2017-07-01	Burt's Bees	4.3632	4.3632	4.3632	4.3632	4.3632	4.915333333
9	Beauty Gift Sets	2017-07-01	California Baby	0.968	0.968	0.968	0.968	0.968	
9	Beauty Gift Sets	2017-07-01	Calily	3.9932	3.9932	3.9932	3.9932	3.9932	5.293
9	Beauty Gift Sets	2017-07-01	Cheftick	4.4488	4.4488	4.4488	4.4488	4.4488	4.958
