url_id	category	fact_date	brand	overall_score_365	overall_score_90	overall_score_30	overall_score_14	overall_score_7	overall_score_1
3618	Women's Leggings	2017-07-01	90 Degree By Reflex	2.485166667	2.485166667	2.485166667	2.485166667	2.485166667	2.278
3618	Women's Leggings	2017-07-01	A-Wintage	5.9965	5.9965	5.9965	5.9965	5.9965	5.963
3618	Women's Leggings	2017-07-01	Aenlley	3.0485	3.0485	3.0485	3.0485	3.0485	2.68
3618	Women's Leggings	2017-07-01	Alaroo	4.288	4.288	4.288	4.288	4.288	4.288
3618	Women's Leggings	2017-07-01	American Apparel	3.819	3.819	3.819	3.819	3.819	3.953
3618	Women's Leggings	2017-07-01	American Summer	6.1305	6.1305	6.1305	6.1305	6.1305	6.03
3618	Women's Leggings	2017-07-01	Baleaf	5.0585	5.0585	5.0585	5.0585	5.0585	5.494
3618	Women's Leggings	2017-07-01	Chic Classic Collection	2.747	2.747	2.747	2.747	2.747	2.412
3618	Women's Leggings	2017-07-01	CodeFit	6.164	6.164	6.164	6.164	6.164	6.164
3618	Women's Leggings	2017-07-01	Conceited	6.478083333	6.478083333	6.478083333	6.478083333	6.478083333	6.360666667
3618	Women's Leggings	2017-07-01	D&K Monarchy	0.604	0.604	0.604	0.604	0.604	
3618	Women's Leggings	2017-07-01	DIAMONDKIT	6.2645	6.2645	6.2645	6.2645	6.2645	6.231
3618	Women's Leggings	2017-07-01	Diamond keep it	3.669666667	3.669666667	3.669666667	3.669666667	3.669666667	3.501333333
3618	Women's Leggings	2017-07-01	Dikoaina	0.6365	0.6365	0.6365	0.6365	0.6365	0.268
3618	Women's Leggings	2017-07-01	Emmalise	2.814	2.814	2.814	2.814	2.814	2.144
3618	Women's Leggings	2017-07-01	Enimay	3.417	3.417	3.417	3.417	3.417	3.551
3618	Women's Leggings	2017-07-01	Ensasa	0.151	0.151	0.151	0.151	0.151	0.201
3618	Women's Leggings	2017-07-01	EttelLut	6.097	6.097	6.097	6.097	6.097	6.097
3618	Women's Leggings	2017-07-01	Evfalia	5.6615	5.6615	5.6615	5.6615	5.6615	5.829
3618	Women's Leggings	2017-07-01	Extreme 80s	1.34	1.34	1.34	1.34	1.34	1.206
3618	Women's Leggings	2017-07-01	Felina	1.8425	1.8425	1.8425	1.8425	1.8425	1.273
3618	Women's Leggings	2017-07-01	HDE	0.738833333	0.738833333	0.738833333	0.738833333	0.738833333	0.335
3618	Women's Leggings	2017-07-01	HUE	2.916833333	2.916833333	2.916833333	2.916833333	2.916833333	3.808
3618	Women's Leggings	2017-07-01	Homma	3.752	3.752	3.752	3.752	3.752	3.283
3618	Women's Leggings	2017-07-01	Idingding	5.159	5.159	5.159	5.159	5.159	5.092
3618	Women's Leggings	2017-07-01	JP	1.407	1.407	1.407	1.407	1.407	1.139
3618	Women's Leggings	2017-07-01	LMB	6.931833333	6.931833333	6.931833333	6.931833333	6.931833333	6.897
3618	Women's Leggings	2017-07-01	Leggings Depot	7.197166667	7.197166667	7.197166667	7.197166667	7.197166667	7.233333333
3618	Women's Leggings	2017-07-01	Leggings Mania	3.4505	3.4505	3.4505	3.4505	3.4505	3.015
3618	Women's Leggings	2017-07-01	Liang Rou	5.809916667	5.809916667	5.809916667	5.809916667	5.809916667	5.628
3618	Women's Leggings	2017-07-01	Lovezesent	1.1055	1.1055	1.1055	1.1055	1.1055	1.005
3618	Women's Leggings	2017-07-01	Moda Age	1.407	1.407	1.407	1.407	1.407	2.613
3618	Women's Leggings	2017-07-01	Mopas	2.3115	2.3115	2.3115	2.3115	2.3115	2.077
3618	Women's Leggings	2017-07-01	NO DATA	4.07	4.07	4.07	4.07	4.07	3.944
3618	Women's Leggings	2017-07-01	Ndoobiy	5.762	5.762	5.762	5.762	5.762	6.499
