url_id	category	fact_date	brand	overall_score_365	overall_score_90	overall_score_30	overall_score_14	overall_score_7	overall_score_1
3611	Women's Skirts	2017-07-01	12 Ami	5.7285	5.7285	5.7285	5.7285	5.7285	5.561
3611	Women's Skirts	2017-07-01	A.F.Y	0.050333333	0.050333333	0.050333333	0.050333333	0.050333333	
3611	Women's Skirts	2017-07-01	AM CLOTHES	2.667666667	2.667666667	2.667666667	2.667666667	2.667666667	3.551
3611	Women's Skirts	2017-07-01	Afibi	6.342416667	6.342416667	6.342416667	6.342416667	6.342416667	6.360666667
3611	Women's Skirts	2017-07-01	Aisa	2.1775	2.1775	2.1775	2.1775	2.1775	2.881
3611	Women's Skirts	2017-07-01	AlvaQ	5.1925	5.1925	5.1925	5.1925	5.1925	4.958
3611	Women's Skirts	2017-07-01	Annflat	4.995	4.995	4.995	4.995	4.995	5.117333333
3611	Women's Skirts	2017-07-01	AsherFashion	2.345	2.345	2.345	2.345	2.345	3.015
3611	Women's Skirts	2017-07-01	Azules	6.1305	6.1305	6.1305	6.1305	6.1305	6.097
3611	Women's Skirts	2017-07-01	BLUETIME	0.7705	0.7705	0.7705	0.7705	0.7705	0.737
3611	Women's Skirts	2017-07-01	Bangkokpants	3.895666667	3.895666667	3.895666667	3.895666667	3.895666667	3.838
3611	Women's Skirts	2017-07-01	Choies	4.410333333	4.410333333	4.410333333	4.410333333	4.410333333	4.107333333
3611	Women's Skirts	2017-07-01	Chouyatou	3.366666667	3.366666667	3.366666667	3.366666667	3.366666667	2.962666667
3611	Women's Skirts	2017-07-01	Conceited	0.654333333	0.654333333	0.654333333	0.654333333	0.654333333	
3611	Women's Skirts	2017-07-01	Dani's Choice	1.31625	1.31625	1.31625	1.31625	1.31625	2.165333333
3611	Women's Skirts	2017-07-01	Dearlovers	3.6515	3.6515	3.6515	3.6515	3.6515	3.417
3611	Women's Skirts	2017-07-01	Doublju	2.356666667	2.356666667	2.356666667	2.356666667	2.356666667	3.097333333
3611	Women's Skirts	2017-07-01	FACE N FACE	6.2645	6.2645	6.2645	6.2645	6.2645	6.231
3611	Women's Skirts	2017-07-01	FIYOTE	3.685	3.685	3.685	3.685	3.685	3.886
3611	Women's Skirts	2017-07-01	FLORIA	5.695	5.695	5.695	5.695	5.695	5.896
3611	Women's Skirts	2017-07-01	Fashion California	0.855666667	0.855666667	0.855666667	0.855666667	0.855666667	
3611	Women's Skirts	2017-07-01	Free to Live	0.402666667	0.402666667	0.402666667	0.402666667	0.402666667	0.536
3611	Women's Skirts	2017-07-01	Frumos	1.34	1.34	1.34	1.34	1.34	0.134
3611	Women's Skirts	2017-07-01	GRACE KARIN	5.628	5.628	5.628	5.628	5.628	5.963
3611	Women's Skirts	2017-07-01	HDE	1.876	1.876	1.876	1.876	1.876	2.747
3611	Women's Skirts	2017-07-01	HIKA	1.9095	1.9095	1.9095	1.9095	1.9095	1.742
3611	Women's Skirts	2017-07-01	HOTAPEI	2.8475	2.8475	2.8475	2.8475	2.8475	2.814
3611	Women's Skirts	2017-07-01	Huiyuzhi	1.9765	1.9765	1.9765	1.9765	1.9765	3.35
3611	Women's Skirts	2017-07-01	HyBrid & Company	5.765833333	5.765833333	5.765833333	5.765833333	5.765833333	5.751666667
3611	Women's Skirts	2017-07-01	J.TOMSON	3.3165	3.3165	3.3165	3.3165	3.3165	3.283
3611	Women's Skirts	2017-07-01	JS Fashion Vintage Dress	0.737	0.737	0.737	0.737	0.737	0.938
3611	Women's Skirts	2017-07-01	Jubilee Couture	1.359	1.359	1.359	1.359	1.359	
3611	Women's Skirts	2017-07-01	LaSuiveur	1.409333333	1.409333333	1.409333333	1.409333333	1.409333333	1.876
3611	Women's Skirts	2017-07-01	Lalagen	4.02	4.02	4.02	4.02	4.02	3.953
3611	Women's Skirts	2017-07-01	Lexi	0.704666667	0.704666667	0.704666667	0.704666667	0.704666667	
3611	Women's Skirts	2017-07-01	Lisong	0.151	0.151	0.151	0.151	0.151	0.201
3611	Women's Skirts	2017-07-01	Lock Love Company	6.5995	6.5995	6.5995	6.5995	6.5995	6.566
3611	Women's Skirts	2017-07-01	Lock and Love	6.5995	6.5995	6.5995	6.5995	6.5995	6.633
3611	Women's Skirts	2017-07-01	Lovezesent	3.3835	3.3835	3.3835	3.3835	3.3835	3.484
3611	Women's Skirts	2017-07-01	MSBASIC	2.144	2.144	2.144	2.144	2.144	1.608
3611	Women's Skirts	2017-07-01	Made By Johnny	6.766666667	6.766666667	6.766666667	6.766666667	6.766666667	6.766666667
3611	Women's Skirts	2017-07-01	Meilun	1.34	1.34	1.34	1.34	1.34	0.469
3611	Women's Skirts	2017-07-01	Melansay	5.963	5.963	5.963	5.963	5.963	5.829
3611	Women's Skirts	2017-07-01	NINEWE	0.251666667	0.251666667	0.251666667	0.251666667	0.251666667	0.335
3611	Women's Skirts	2017-07-01	NO DATA	4.869583333	4.869583333	4.869583333	4.869583333	4.869583333	4.578666667
3611	Women's Skirts	2017-07-01	Novia's Choice	4.197916667	4.197916667	4.197916667	4.197916667	4.197916667	4.154
3611	Women's Skirts	2017-07-01	OCHENTA	4.1875	4.1875	4.1875	4.1875	4.1875	4.355
3611	Women's Skirts	2017-07-01	Paul Jones®Dress	3.149	3.149	3.149	3.149	3.149	3.216
3611	Women's Skirts	2017-07-01	PrettyWorld Vintage Dress	6.0635	6.0635	6.0635	6.0635	6.0635	6.164
3611	Women's Skirts	2017-07-01	Red Hanger	2.821	2.821	2.821	2.821	2.821	3.752
3611	Women's Skirts	2017-07-01	Regna X	2.1775	2.1775	2.1775	2.1775	2.1775	2.211
3611	Women's Skirts	2017-07-01	Rekucci	2.491333333	2.491333333	2.491333333	2.491333333	2.491333333	1.818
3611	Women's Skirts	2017-07-01	Relipop	1.407	1.407	1.407	1.407	1.407	0.804
3611	Women's Skirts	2017-07-01	RipSkirt Hawaii	4.0535	4.0535	4.0535	4.0535	4.0535	4.489
3611	Women's Skirts	2017-07-01	Romwe	2.5125	2.5125	2.5125	2.5125	2.5125	2.278
3611	Women's Skirts	2017-07-01	SheIn	4.097166667	4.097166667	4.097166667	4.097166667	4.097166667	3.703333333
3611	Women's Skirts	2017-07-01	Shele	1.005	1.005	1.005	1.005	1.005	0.067
3611	Women's Skirts	2017-07-01	Simlu	5.6025	5.6025	5.6025	5.6025	5.6025	5.548666667
3611	Women's Skirts	2017-07-01	Simplee Apparel	1.8425	1.8425	1.8425	1.8425	1.8425	0.871
3611	Women's Skirts	2017-07-01	Simplicity	4.7235	4.7235	4.7235	4.7235	4.7235	4.891
3611	Women's Skirts	2017-07-01	Stormmall	3.216	3.216	3.216	3.216	3.216	2.613
3611	Women's Skirts	2017-07-01	Stretch is Comfort	4.949	4.949	4.949	4.949	4.949	4.780666667
3611	Women's Skirts	2017-07-01	TRENDY UNITED	5.413333333	5.413333333	5.413333333	5.413333333	5.413333333	5.413333333
3611	Women's Skirts	2017-07-01	TWINTH	6.045	6.045	6.045	6.045	6.045	6.06
3611	Women's Skirts	2017-07-01	Taydey	5.3265	5.3265	5.3265	5.3265	5.3265	5.628
3611	Women's Skirts	2017-07-01	TheMogan	5.494	5.494	5.494	5.494	5.494	5.427
3611	Women's Skirts	2017-07-01	Urban CoCo	6.6585	6.6585	6.6585	6.6585	6.6585	6.693
3611	Women's Skirts	2017-07-01	V28®	5.1255	5.1255	5.1255	5.1255	5.1255	5.025
3611	Women's Skirts	2017-07-01	Velucci	3.752	3.752	3.752	3.752	3.752	3.149
3611	Women's Skirts	2017-07-01	VfEmage	2.0435	2.0435	2.0435	2.0435	2.0435	1.474
3611	Women's Skirts	2017-07-01	Vivicastle	4.208333333	4.208333333	4.208333333	4.208333333	4.208333333	4.848
3611	Women's Skirts	2017-07-01	WDPL	2.51875	2.51875	2.51875	2.51875	2.51875	2.546
3611	Women's Skirts	2017-07-01	Wax	4.221	4.221	4.221	4.221	4.221	4.02
3611	Women's Skirts	2017-07-01	Yige	1.541	1.541	1.541	1.541	1.541	2.412
3611	Women's Skirts	2017-07-01	Yonala	2.546	2.546	2.546	2.546	2.546	1.675
3611	Women's Skirts	2017-07-01	Zero City	1.876	1.876	1.876	1.876	1.876	2.01
3611	Women's Skirts	2017-07-02	12 Ami	5.762	5.762	5.762	5.762	5.762	5.829
3611	Women's Skirts	2017-07-02	A.F.Y	0.044777778	0.044777778	0.044777778	0.044777778	0.044777778	
3611	Women's Skirts	2017-07-02	AM CLOTHES	1.877861111	1.877861111	1.877861111	1.877861111	1.877861111	0.942666667
3611	Women's Skirts	2017-07-02	Afibi	6.247888889	6.247888889	6.247888889	6.247888889	6.247888889	6.06
3611	Women's Skirts	2017-07-02	Aisa	2.300333333	2.300333333	2.300333333	2.300333333	2.300333333	2.546
3611	Women's Skirts	2017-07-02	AlvaQ	5.159	5.159	5.159	5.159	5.159	5.092
3611	Women's Skirts	2017-07-02	Annflat	4.886518519	4.886518519	4.886518519	4.886518519	4.886518519	4.669
3611	Women's Skirts	2017-07-02	AsherFashion	2.613	2.613	2.613	2.613	2.613	3.149
3611	Women's Skirts	2017-07-02	Azules	6.231	6.231	6.231	6.231	6.231	6.432
3611	Women's Skirts	2017-07-02	BLUETIME	1.273	1.273	1.273	1.273	1.273	2.278
3611	Women's Skirts	2017-07-02	Bangkokpants	3.988518519	3.988518519	3.988518519	3.988518519	3.988518519	4.174666667
3611	Women's Skirts	2017-07-02	Beautybatik	0.806	0.806	0.806	0.806	0.806	1.206
3611	Women's Skirts	2017-07-02	Choies	4.533777778	4.533777778	4.533777778	4.533777778	4.533777778	4.780666667
3611	Women's Skirts	2017-07-02	Chouyatou	3.462148148	3.462148148	3.462148148	3.462148148	3.462148148	3.654
3611	Women's Skirts	2017-07-02	Conceited	0.582111111	0.582111111	0.582111111	0.582111111	0.582111111	
3611	Women's Skirts	2017-07-02	Dani's Choice	1.97837037	1.97837037	1.97837037	1.97837037	1.97837037	3.299333333
3611	Women's Skirts	2017-07-02	Dearlovers	3.841333333	3.841333333	3.841333333	3.841333333	3.841333333	4.221
3611	Women's Skirts	2017-07-02	Doublju	2.738222222	2.738222222	2.738222222	2.738222222	2.738222222	3.501333333
3611	Women's Skirts	2017-07-02	FACE N FACE	6.365	6.365	6.365	6.365	6.365	6.566
3611	Women's Skirts	2017-07-02	FIYOTE	3.774333333	3.774333333	3.774333333	3.774333333	3.774333333	3.953
3611	Women's Skirts	2017-07-02	FLORIA	5.851333333	5.851333333	5.851333333	5.851333333	5.851333333	6.164
3611	Women's Skirts	2017-07-02	Fashion California	0.761222222	0.761222222	0.761222222	0.761222222	0.761222222	
3611	Women's Skirts	2017-07-02	Free to Live	0.358222222	0.358222222	0.358222222	0.358222222	0.358222222	
3611	Women's Skirts	2017-07-02	Frumos	1.094333333	1.094333333	1.094333333	1.094333333	1.094333333	0.603
3611	Women's Skirts	2017-07-02	GRACE KARIN	5.739666667	5.739666667	5.739666667	5.739666667	5.739666667	5.963
3611	Women's Skirts	2017-07-02	HDE	1.786666667	1.786666667	1.786666667	1.786666667	1.786666667	1.608
3611	Women's Skirts	2017-07-02	HIKA	1.719666667	1.719666667	1.719666667	1.719666667	1.719666667	1.34
3611	Women's Skirts	2017-07-02	HOTAPEI	2.702333333	2.702333333	2.702333333	2.702333333	2.702333333	2.412
3611	Women's Skirts	2017-07-02	Huiyuzhi	2.211	2.211	2.211	2.211	2.211	2.68
3611	Women's Skirts	2017-07-02	HyBrid & Company	5.58037037	5.58037037	5.58037037	5.58037037	5.58037037	5.210333333
3611	Women's Skirts	2017-07-02	J.TOMSON	2.769333333	2.769333333	2.769333333	2.769333333	2.769333333	1.675
3611	Women's Skirts	2017-07-02	JS Fashion Vintage Dress	1.116666667	1.116666667	1.116666667	1.116666667	1.116666667	1.876
3611	Women's Skirts	2017-07-02	Jubilee Couture	1.397222222	1.397222222	1.397222222	1.397222222	1.397222222	1.541
3611	Women's Skirts	2017-07-02	LISTONE	2.238888889	2.238888889	2.238888889	2.238888889	2.238888889	3.35
3611	Women's Skirts	2017-07-02	LaSuiveur	1.253777778	1.253777778	1.253777778	1.253777778	1.253777778	
3611	Women's Skirts	2017-07-02	Lalagen	3.707333333	3.707333333	3.707333333	3.707333333	3.707333333	3.082
3611	Women's Skirts	2017-07-02	Lexi	1.313388889	1.313388889	1.313388889	1.313388889	1.313388889	2.211
3611	Women's Skirts	2017-07-02	Lisong	0.134333333	0.134333333	0.134333333	0.134333333	0.134333333	
3611	Women's Skirts	2017-07-02	Lock Love Company	6.521333333	6.521333333	6.521333333	6.521333333	6.521333333	6.365
3611	Women's Skirts	2017-07-02	Lock and Love	6.566	6.566	6.566	6.566	6.566	6.499
3611	Women's Skirts	2017-07-02	Lovezesent	3.484	3.484	3.484	3.484	3.484	3.685
3611	Women's Skirts	2017-07-02	MSBASIC	2.01	2.01	2.01	2.01	2.01	1.742
3611	Women's Skirts	2017-07-02	Made By Johnny	6.766666667	6.766666667	6.766666667	6.766666667	6.766666667	6.766666667
3611	Women's Skirts	2017-07-02	Meilun	1.117777778	1.117777778	1.117777778	1.117777778	1.117777778	
3611	Women's Skirts	2017-07-02	Melansay	5.806666667	5.806666667	5.806666667	5.806666667	5.806666667	5.494
3611	Women's Skirts	2017-07-02	NINEWE	0.223888889	0.223888889	0.223888889	0.223888889	0.223888889	
3611	Women's Skirts	2017-07-02	NO DATA	4.064027778	4.064027778	4.064027778	4.064027778	4.064027778	
3611	Women's Skirts	2017-07-02	Novia's Choice	4.302222222	4.302222222	4.302222222	4.302222222	4.302222222	4.511333333
3611	Women's Skirts	2017-07-02	OCHENTA	4.399666667	4.399666667	4.399666667	4.399666667	4.399666667	4.824
3611	Women's Skirts	2017-07-02	OUGES	0.716444444	0.716444444	0.716444444	0.716444444	0.716444444	1.072
3611	Women's Skirts	2017-07-02	Paul Jones®Dress	3.528666667	3.528666667	3.528666667	3.528666667	3.528666667	4.288
3611	Women's Skirts	2017-07-02	PrettyWorld Vintage Dress	6.119333333	6.119333333	6.119333333	6.119333333	6.119333333	6.231
3611	Women's Skirts	2017-07-02	Red Hanger	3.221333333	3.221333333	3.221333333	3.221333333	3.221333333	4.02
3611	Women's Skirts	2017-07-02	Regna X	2.527851852	2.527851852	2.527851852	2.527851852	2.527851852	3.232
3611	Women's Skirts	2017-07-02	Rekucci	2.491333333	2.491333333	2.491333333	2.491333333	2.491333333	2.491333333
3611	Women's Skirts	2017-07-02	Relipop	1.173666667	1.173666667	1.173666667	1.173666667	1.173666667	
3611	Women's Skirts	2017-07-02	RipSkirt Hawaii	4.176333333	4.176333333	4.176333333	4.176333333	4.176333333	4.422
3611	Women's Skirts	2017-07-02	Romwe	2.099333333	2.099333333	2.099333333	2.099333333	2.099333333	1.273
3611	Women's Skirts	2017-07-02	SheIn	3.674814815	3.674814815	3.674814815	3.674814815	3.674814815	2.828
3611	Women's Skirts	2017-07-02	Shele	1.161333333	1.161333333	1.161333333	1.161333333	1.161333333	1.474
3611	Women's Skirts	2017-07-02	Simlu	5.597888889	5.597888889	5.597888889	5.597888889	5.597888889	5.588666667
3611	Women's Skirts	2017-07-02	Simple Retro	0.089555556	0.089555556	0.089555556	0.089555556	0.089555556	0.134
3611	Women's Skirts	2017-07-02	Simplee Apparel	1.536944444	1.536944444	1.536944444	1.536944444	1.536944444	
3611	Women's Skirts	2017-07-02	Simplicity	4.511333333	4.511333333	4.511333333	4.511333333	4.511333333	4.087
3611	Women's Skirts	2017-07-02	Stormmall	3.417	3.417	3.417	3.417	3.417	3.819
3611	Women's Skirts	2017-07-02	Stretch is Comfort	5.103296296	5.103296296	5.103296296	5.103296296	5.103296296	5.413333333
3611	Women's Skirts	2017-07-02	TRENDY UNITED	5.526111111	5.526111111	5.526111111	5.526111111	5.526111111	5.751666667
3611	Women's Skirts	2017-07-02	TWINTH	6.06237037	6.06237037	6.06237037	6.06237037	6.06237037	6.097
3611	Women's Skirts	2017-07-02	Taydey	5.226	5.226	5.226	5.226	5.226	5.025
3611	Women's Skirts	2017-07-02	TheMogan	5.427	5.427	5.427	5.427	5.427	5.293
3611	Women's Skirts	2017-07-02	Urban CoCo	6.716	6.716	6.716	6.716	6.716	6.831
3611	Women's Skirts	2017-07-02	V28®	5.159	5.159	5.159	5.159	5.159	5.226
3611	Women's Skirts	2017-07-02	Velucci	3.417	3.417	3.417	3.417	3.417	2.747
3611	Women's Skirts	2017-07-02	VfEmage	1.518666667	1.518666667	1.518666667	1.518666667	1.518666667	0.469
3611	Women's Skirts	2017-07-02	Vivicastle	4.444	4.444	4.444	4.444	4.444	4.915333333
3611	Women's Skirts	2017-07-02	WDPL	2.39362963	2.39362963	2.39362963	2.39362963	2.39362963	2.144
3611	Women's Skirts	2017-07-02	Wax	4.064666667	4.064666667	4.064666667	4.064666667	4.064666667	3.752
3611	Women's Skirts	2017-07-02	Woman Within	0.761222222	0.761222222	0.761222222	0.761222222	0.761222222	1.139
3611	Women's Skirts	2017-07-02	Yige	1.206	1.206	1.206	1.206	1.206	0.536
3611	Women's Skirts	2017-07-02	Yonala	2.166333333	2.166333333	2.166333333	2.166333333	2.166333333	1.407
3611	Women's Skirts	2017-07-02	Zero City	2.434333333	2.434333333	2.434333333	2.434333333	2.434333333	3.551
3611	Women's Skirts	2017-07-03	12 Ami	5.74525	5.74525	5.74525	5.74525	5.74525	5.695
3611	Women's Skirts	2017-07-03	A.F.Y	0.327166667	0.327166667	0.327166667	0.327166667	0.327166667	0.804
3611	Women's Skirts	2017-07-03	ADOREJOY	1.302	1.302	1.302	1.302	1.302	2.077
3611	Women's Skirts	2017-07-03	AM CLOTHES	1.861296296	1.861296296	1.861296296	1.861296296	1.861296296	1.876
