url_id	category	fact_date	brand	overall_score_365	overall_score_90	overall_score_30	overall_score_14	overall_score_7	overall_score_1
1955	Perfumes & Fragrances	2017-07-01	ARCHEER	2.532806474	2.560324074				
1955	Perfumes & Fragrances	2017-07-01	ASAKUKI	1.569535091	1.753428571	2.005797619	2.881	2.498142857	4.02
1955	Perfumes & Fragrances	2017-07-01	ASUTRA	1.129181818	1.135444444				
1955	Perfumes & Fragrances	2017-07-01	Anjou	1.083055308	0.883689815				
1955	Perfumes & Fragrances	2017-07-01	Aropey	1.368226814	1.379518519				
1955	Perfumes & Fragrances	2017-07-01	ArtNaturals	6.673401544	6.71630214	6.71199	6.727891156	6.772823129	6.864
1955	Perfumes & Fragrances	2017-07-01	Artizen	3.179596931	3.432094635	4.783059099	5.956564626	6.162993197	6.225333333
1955	Perfumes & Fragrances	2017-07-01	Arvidsson	0.678842975	0.680740741	0.695555556			
1955	Perfumes & Fragrances	2017-07-01	Aviano Botanicals	0.941854913	0.404203704	0.438277778	0.496690476	0.607396825	
1955	Perfumes & Fragrances	2017-07-01	Azzaro	3.314009516	3.744232963	4.975759259	5.227857143	5.296761905	3.886
1955	Perfumes & Fragrances	2017-07-01	BAXIA TECHNOLOGY	3.370160349	3.121351408	4.164421769	4.312988981	3.339449405	4.646
1955	Perfumes & Fragrances	2017-07-01	BVLGARI	0.427720386	0.430092593				
1955	Perfumes & Fragrances	2017-07-01	Bath & Body Works	3.739818182	3.673833333	3.685	3.775928571	3.838142857	3.685
1955	Perfumes & Fragrances	2017-07-01	Beauty Aura	0.690650462	0.596707819				
1955	Perfumes & Fragrances	2017-07-01	Body Wonders	1.052596222	0.71175	0.939	0.973285714		
1955	Perfumes & Fragrances	2017-07-01	Brilliant Beauty	0.626449587	0.71037037	1.022833333	1.095214286	1.230928571	2.077
1955	Perfumes & Fragrances	2017-07-01	Britney Spears	0.135768595					
1955	Perfumes & Fragrances	2017-07-01	California Home Goods	1.069134298	1.080805556	0.752333333	0.216285714		
1955	Perfumes & Fragrances	2017-07-01	Calily	0.978325263	0.405740741	0.251222222	0.269	0.302333333	0.067
1955	Perfumes & Fragrances	2017-07-01	Clinique	2.36477686	2.69626462	1.977766082	2.465465201	2.584285714	3.283
1955	Perfumes & Fragrances	2017-07-01	Comfort Zone	0.552988557	0.571301994	0.742565657	0.968597403	1.327746032	1.206
1955	Perfumes & Fragrances	2017-07-01	ComfySure	0.067884298					
1955	Perfumes & Fragrances	2017-07-01	Cornucopia Brands	3.50515142	3.612273203	3.192653333	2.271148148	2.001992063	2.814
1955	Perfumes & Fragrances	2017-07-01	Curve	0.764677686	0.819333333	1.119124183	0.39652381		
1955	Perfumes & Fragrances	2017-07-01	DaBee	1.38465192	1.542219373	1.608111111			
1955	Perfumes & Fragrances	2017-07-01	Davidoff	4.216016529	4.453266667	5.337666667	5.565785714	5.494	5.494
1955	Perfumes & Fragrances	2017-07-01	Dolce & Gabbana	2.02420307	2.252237372	3.090688889	1.533605442	0.690122449	0.737
1955	Perfumes & Fragrances	2017-07-01	Donna Karan	0.834958419	0.852607639				
1955	Perfumes & Fragrances	2017-07-01	Earth's Gift	1.19761708	1.974148148				
1955	Perfumes & Fragrances	2017-07-01	Edens Garden	0.471225739	0.285833333				
1955	Perfumes & Fragrances	2017-07-01	Elizabeth Taylor	1.114572791	1.15148433				
