vertical,drive_to_store,fulfillment
Beauty,4.4,6.5
Watches & Jewelry,4.1,2.1
Specialty Retail,2.2,2.8
Grocery,1.3,3.4
Activewear,1.9,1.6
Big Box,1.5,1.5
Department Stores,2.1,0.7
Fashion,1.7,0.3
